Dates (not finalized),Time,Instructor,Topic
Mon July 11,Morning,Siyue,TBD
Mon July 11,Afternoon,Emma,
Tues July 12,Morning,Siyue,
Tues July 12,Afternoon,Emma,
Wed July 13,Morning,Siyue,
Wed July 13,Afternoon,Emma,
Thurs July 14,Morning,Emma,
Thurs July 14,Afternoon,Emma,
Fri July 15,Morning,Siyue,
Fri July 15,Afternoon,Emma,
Mon July 18,Morning,Siyue,
Mon July 18,Afternoon,Shiki,
Tues July 19,Morning,Emma,
Tues July 19,Afternoon,Shiki,
Wed July 20,Morning,Siyue,
Wed July 20,Afternoon,Siyue,
Thurs July 21,Morning,Shiki,
Thurs July 21,Afternoon,Emma,
Fri July 22,Morning,Shiki,
Fri July 22,Afternoon,Emma,
Mon July 25,Morning,Siyue,
Mon July 25,Afternoon,Shiki,
Tues July 26,Morning,Emma,
Tues July 26,Afternoon,Shiki,
Wed July 27,Morning,Siyue,
Wed July 27,Afternoon,Shiki,
Thurs July 28,Morning,Shiki,
Thurs July 28,Afternoon,Shiki,
Fri July 29,Morning,Siyue,
Fri July 29,Afternoon,Shiki,